date,report_no,address,Latitude,Longitude,distance_in_ft,direction,day,collision_factor,collision_type,involved_with,vehicle_type
7/30/2022,22-04964,"CARLSBAD BLVD and SEQUOIA AVE, Carlsbad, San Diego, United States",33.1468951,-117.3447858,2640,SOUTH,Saturday,Unsafe Speed,Rear-End,Parked Motor Vehicle,Electric Bicycle
7/27/2022,22-04889,"LA COSTA AVE and VIA MONTEBELLO, Carlsbad, San Diego, United States",33.0806139,-117.2355746,284,SOUTH,Wednesday,Driving Under Influence,Sideswipe,Bicycle,Electric Bicycle
7/24/2022,22-04793,"CARLSBAD BLVD and WALNUT AVE, Carlsbad, San Diego, United States",33.1538818,-117.3502175,113,NORTH,Sunday,Improper Turning,Sideswipe,Bicycle,Electric Bicycle
7/21/2022,22-04730,"CARLSBAD BLVD and SOLAMAR DR (W), Carlsbad, San Diego, United States",33.1208962,-117.3273054,562,SOUTH,Thursday,Unsafe Speed,Rear-End,Bicycle,Bicycle
7/19/2022,22-04682,"OCEAN ST and GRAND AVE, Carlsbad, San Diego, United States",33.1584411,-117.3534498,0,Not Stated,Tuesday,Unknown,Other,Non - Collision,Electric Bicycle
7/11/2022,22-04498,"TAMARACK AVE and COASTAL RAIL TRAIL CLASS IV BIKE LANE, Carlsbad, San Diego, United States",33.1540375,-117.3448732,226,NORTH,Monday,Unsafe Speed,Rear-End,Bicycle,Electric Bicycle
7/8/2022,22-04449,"MARRON RD and JEFFERSON ST, Carlsbad, San Diego, United States",33.1781859,-117.3404069,0,Not Stated,Friday,Traffic Signals and Signs,Rear-End,Bicycle,Bicycle
7/1/2022,22-04295,"SEAFARER PL and WIND SOCK WAY, Carlsbad, San Diego, United States",33.0954272,-117.3115205,10,SOUTH,Friday,Auto R/W Violation,Broadside,Bicycle,Bicycle
7/1/2022,22-04299,"EL CAMINO REAL and LA COSTA AVE, Carlsbad, San Diego, United States",33.0853092,-117.2685925,813,NORTH,Friday,,Broadside,Bicycle,Electric Bicycle
6/30/2022,22-04268,"985 TAMARACK AVE, Carlsbad, San Diego, United States",33.1522779,-117.3339596,0,Not Stated,Thursday,Other Improper Driving,Broadside,Bicycle,Bicycle
6/29/2022,22-04226,"JEFFERSON ST and MARRON RD, Carlsbad, San Diego, United States",33.1767938,-117.3311118,475,WEST,Wednesday,Unsafe Speed,Hit Object,Fixed Object,Electric Bicycle
6/24/2022,22-04108,"2525 EL CAMINO REAL, Carlsbad, San Diego, United States",33.1781877,-117.3324498,0,Not Stated,Friday,Other Improper Driving,Hit Object,Fixed Object,Bicycle
6/23/2022,22-04093,"PARK DR and TAMARACK AVE, Carlsbad, San Diego, United States",33.1545825,-117.3181712,74,NORTH,Thursday,Unsafe Speed,Other,Non - Collision,Bicycle
6/22/2022,22-04057,"YARROW DR and CAMINO VIDA ROBLE, Carlsbad, San Diego, United States",33.1191406,-117.27354,14,NORTH,Wednesday,Auto R/W Violation,Broadside,Bicycle,Bicycle
6/10/2022,22-03804,"CHESTNUT AVE and ADAMS ST, Carlsbad, San Diego, United States",33.1582995,-117.337288,0,Not Stated,Friday,Unsafe Speed,Other,Fixed Object,Bicycle
6/4/2022,22-03664,"CANNON RD and FROST AVE, Carlsbad, San Diego, United States",33.1471056,-117.300293,615,EAST,Saturday,Unknown,Other,Non - Collision,Bicycle
6/1/2022,22-03579,"POINSETTIA LANE and ALICANTE RD, Carlsbad, San Diego, United States",33.1146847,-117.2606896,156,WEST,Wednesday,Other Than Driver,Overturned,Non - Collision,Electric Bicycle
5/24/2022,22-03423,"TAMARACK AVE and LEVEE DR, Carlsbad, San Diego, United States",33.1744614,-117.2900097,3,NORTH,Tuesday,Ped R/W Violation,Vehicle - Pedestrian,Pedestrian,Electric Bicycle
5/24/2022,22-03415,"CARLSBAD VILLAGE DR and CHATHAM RD, Carlsbad, San Diego, United States",33.1665335,-117.303681,186,WEST,Tuesday,Unsafe Speed,Hit Object,Fixed Object,Bicycle
5/23/2022,22-03404,"TAMARACK AVE and AMBERWOOD CT, Carlsbad, San Diego, United States",33.1533525,-117.313119,8,WEST,Monday,Unsafe Speed,Overturned,Non - Collision,Electric Bicycle
5/21/2022,22-03346,"EL CAMINO REAL and LEVANTE ST, Carlsbad, San Diego, United States",33.0784256,-117.2656793,435,NORTH,Saturday,Other Improper Driving,Hit Object,Other Object,Bicycle
5/19/2022,22-03296,"CHESTNUT AVE and CAMEO RD, Carlsbad, San Diego, United States",33.16227,-117.322403,300,EAST,Thursday,Other Improper Driving,Vehicle - Pedestrian,Pedestrian,Electric Bicycle
5/5/2022,22-02950,"COLLEGE BLVD and CANNON RD, Carlsbad, San Diego, United States",33.1549962,-117.2871277,0,Not Stated,Thursday,,Broadside,Bicycle,Bicycle
4/28/2022,22-02768,"PIO PICO DR and MAGNOLIA AVE, Carlsbad, San Diego, United States",33.155109,-117.337669,4,WEST,Thursday,Auto R/W Violation,Broadside,Bicycle,Bicycle
4/26/2022,22-02716,"EL CAMINO REAL and WEST RANCH ST, Carlsbad, San Diego, United States",33.1514953,-117.3034616,300,NORTH,Tuesday,Unsafe Speed,Rear-End,Bicycle,Electric Bicycle
4/14/2022,22-03202,"CARLSBAD BLVD and EATON STREET, Carlsbad, San Diego, United States",33.1705926,-117.35831,1050,SOUTH,Thursday,Auto R/W Violation,Other,Bicycle,Electric Bicycle
4/6/2022,22-02255,"POINSETTIA LANE and MELROSE DR, Carlsbad, San Diego, United States",33.1227738,-117.2379944,162,WEST,Wednesday,Unsafe Speed,Rear-End,Bicycle,Bicycle
3/27/2022,22-02009,"CARLSBAD BLVD and OAK AVE, Carlsbad, San Diego, United States",33.156743,-117.3507832,0,Not Stated,Sunday,Auto R/W Violation,Broadside,Bicycle,Electric Bicycle
3/23/2022,22-01918,"CARLSBAD VILLAGE DR and STATE ST, Carlsbad, San Diego, United States",33.1596101,-117.3487163,179,WEST,Wednesday,Improper Turning,Sideswipe,Bicycle,Electric Bicycle
3/16/2022,22-01755,"PARK DR and HILLSIDE DR, Carlsbad, San Diego, United States",33.149506,-117.319893,0,Not Stated,Wednesday,Auto R/W Violation,Broadside,Bicycle,Bicycle
3/14/2022,22-01697,"LEVANTE ST and HILLSIDE DR, Carlsbad, San Diego, United States",33.0815723,-117.2497338,120,WEST,Monday,Unsafe Speed,Rear-End,Bicycle,Bicycle
3/12/2022,22-01647,"CARLSBAD BLVD and AVENIDA ENCINAS, Carlsbad, San Diego, United States",33.0918303,-117.3138019,0,Not Stated,Saturday,Improper Turning,Broadside,Bicycle,Electric Bicycle
3/11/2022,22-01621,"1 MAVERICK WAY, Carlsbad, San Diego, United States",33.0734532,-117.2299022,0,Not Stated,Friday,Other Improper Driving,Other,Non - Collision,Electric Bicycle
3/8/2022,22-01536,"MADISON ST and CHESTNUT AVE, Carlsbad, San Diego, United States",33.1614838,-117.3303608,0,Not Stated,Tuesday,Auto R/W Violation,Broadside,Bicycle,Bicycle
3/1/2022,22-01392,"2000 CHESTNUT AVENUE, Carlsbad, San Diego, United States",33.1616346,-117.3263934,0,Not Stated,Tuesday,Unknown,Other,Non - Collision,Electric Bicycle
3/1/2022,22-01361,"CARLSBAD BLVD and CHERRY AVE, Carlsbad, San Diego, United States",33.1503334,-117.3475832,0,Not Stated,Tuesday,Unsafe Speed,Broadside,Bicycle,Electric Bicycle
2/27/2022,22-01303,"PALOMAR AIRPORT RD and CAMINO VIDA ROBLE, Carlsbad, San Diego, United States",33.1201098,-117.2817611,1057,WEST,Sunday,Unsafe Speed,Hit Object,Fixed Object,Electric Bicycle
2/25/2022,22-01247,"PARK DR and VALENCIA AVE, Carlsbad, San Diego, United States",33.144813,-117.31584,425,WEST,Friday,Unsafe Speed,Sideswipe,Bicycle,Electric Bicycle
2/24/2022,22-01225,"LA COSTA AVE and LEVANTE ST, Carlsbad, San Diego, United States",33.0822882,-117.2376428,0,Not Stated,Thursday,Auto R/W Violation,Broadside,Bicycle,Electric Bicycle
2/24/2022,22-01227,"CHESTNUT AVE and MONROE ST, Carlsbad, San Diego, United States",33.161634,-117.3264132,203,WEST,Thursday,Improper Turning,Sideswipe,Bicycle,Electric Bicycle
2/20/2022,22-01156,"EL FUERTE ST and RANCHO PANCHO, Carlsbad, San Diego, United States",33.1151935,-117.2480442,265,SOUTH,Sunday,Unsafe Speed,Overturned,Non - Collision,Electric Bicycle
2/18/2022,22-01122,"AVIARA PY and MIMOSA DR, Carlsbad, San Diego, United States",33.100793,-117.2715965,102,SOUTH,Friday,Wrong Side of Road,Broadside,Bicycle,Electric Bicycle
2/17/2022,22-01070,"CARLSBAD VILLAGE DR and JEFFERSON ST, Carlsbad, San Diego, United States",33.1613859,-117.3456671,4,EAST,Thursday,,Broadside,Bicycle,Bicycle
2/13/2022,22-00977,"MARRON RD and MONROE ST, Carlsbad, San Diego, United States",33.1764286,-117.3369854,500,Not Stated,Sunday,Driving Under Influence,Other,Non - Collision,Electric Bicycle
2/11/2022,22-00939,"EL CAMINO REAL and HOSP WAY, Carlsbad, San Diego, United States",33.175106,-117.3253197,255,SOUTH,Friday,Unsafe Speed,Overturned,Non - Collision,Bicycle
2/11/2022,22-00928,"STATE ST and LAGUNA DR, Carlsbad, San Diego, United States",33.1652652,-117.3466418,0,Not Stated,Friday,Auto R/W Violation,Broadside,Bicycle,Bicycle
2/11/2022,22-00927,"CAMINO DE LAS ONDAS and SEASCAPE DR, Carlsbad, San Diego, United States",33.1102386,-117.3074486,14,EAST,Friday,Improper Turning,Broadside,Bicycle,Electric Bicycle
2/9/2022,22-00896,"PALOMAR AIRPORT RD and COLLEGE BLVD, Carlsbad, San Diego, United States",33.1241685,-117.3015176,0,Not Stated,Wednesday,Traffic Signals and Signs,Broadside,Bicycle,Electric Bicycle
2/7/2022,22-00834,"STATE ST and LAGUNA DR, Carlsbad, San Diego, United States",33.1652652,-117.3466418,12,NORTH,Monday,,Hit Object,Fixed Object,Electric Bicycle
2/6/2022,22-00840,"CARLSBAD BLVD and PONTO RD, Carlsbad, San Diego, United States",33.09839,-117.3169496,345,SOUTH,Sunday,Improper Turning,Overturned,Non - Collision,Bicycle
2/5/2022,22-00974,"GRAND AVE and WASHINGTON ST, Carlsbad, San Diego, United States",33.1601316,-117.3505579,50,WEST,Saturday,Other Hazardous Movement,Other,Bicycle,Bicycle
1/30/2022,22-00662,"CHESTNUT AVE and MADISON ST, Carlsbad, San Diego, United States",33.1564065,-117.3430865,6,WEST,Sunday,Improper Turning,Other,Non - Collision,Electric Bicycle
1/28/2022,22-00621,"CARLSBAD VILLAGE DR and HARDING ST, Carlsbad, San Diego, United States",33.1619201,-117.3445777,375,EAST,Friday,Improper Turning,Broadside,Bicycle,Bicycle
1/27/2022,22-00596,"POINSETTIA LANE and EL FUERTE ST, Carlsbad, San Diego, United States",33.1181736,-117.2493076,0,Not Stated,Thursday,Improper Turning,Sideswipe,Bicycle,Electric Bicycle
1/4/2022,22-00057,"CALLE BARCELONA and RANCHO SANTA FE RD, Carlsbad, San Diego, United States",33.0722449,-117.2425095,15,EAST,Tuesday,Driving Under Influence,Hit Object,Other Object,Electric Bicycle
1/4/2022,22-00068,"PALOMAR AIRPORT RD and BUSINESS PARK DR, Carlsbad, San Diego, United States",33.1315564,-117.228324,900,WEST,Tuesday,Other Improper Driving,Sideswipe,Bicycle,Bicycle
1/3/2022,22-00040,"STATE ST and BEECH AVE, Carlsbad, San Diego, United States",33.1616549,-117.3523323,165,SOUTH,Monday,Improper Turning,Overturned,Non - Collision,Bicycle
12/31/2021,21-08697,"ADAMS ST and HIGHLAND DR, Carlsbad, San Diego, United States",33.1605087,-117.3341569,645,SOUTH,Friday,Other Than Driver,Hit Object,Animal,Electric Bicycle
12/28/2021,21-08645,"HARBOR POINT RD and PASEO DEL NORTE, Carlsbad, San Diego, United States",33.1067033,-117.3086908,25,WEST,Tuesday,Other Improper Driving,Broadside,Bicycle,Bicycle
12/28/2021,21-08643,"FARADAY AVE and PRIESTLY DR, Carlsbad, San Diego, United States",33.1352407,-117.2761241,0,Not Stated,Tuesday,Wrong Side of Road,Broadside,Bicycle,Electric Bicycle
12/21/2021,21-08514,"COLLEGE BLVD and FARADAY AVE, Carlsbad, San Diego, United States",33.1353944,-117.2859197,200,NORTH,Tuesday,Following Too Closely,Rear-End,Bicycle,Bicycle
12/20/2021,21-08486,"CARLSBAD BLVD and AVENIDA ENCINAS, Carlsbad, San Diego, United States",33.0918303,-117.3138019,394,SOUTH,Monday,Improper Turning,Rear-End,Bicycle,Bicycle
12/15/2021,21-08375,"COLLEGE BLVD and TAMARACK AVE (S), Carlsbad, San Diego, United States",33.1706117,-117.2934067,4,SOUTH,Wednesday,Other Hazardous Movement,Sideswipe,Bicycle,Electric Bicycle
12/10/2021,21-08256,"POINSETTIA LANE and ALICANTE RD, Carlsbad, San Diego, United States",33.1146847,-117.2606896,818,EAST,Friday,Unsafe Speed,Broadside,Bicycle,Bicycle
12/2/2021,21-08065,"POINSETTIA LANE and AVENIDA ENCINAS, Carlsbad, San Diego, United States",33.1029063,-117.3134841,0,Not Stated,Thursday,Unsafe Speed,Rear-End,Bicycle,Bicycle
11/29/2021,21-08000,"AMBROSIA LANE and AVIARA PY, Carlsbad, San Diego, United States",33.101333,-117.2767351,301,NORTH,Monday,Unsafe Speed,Rear-End,Bicycle,Electric Bicycle
11/27/2021,21-07956,"3421 VIA MOTELBELLO, Carlsbad, San Diego, United States",33.0812231,-117.2333473,0,Not Stated,Saturday,Other Improper Driving,Broadside,Bicycle,Electric Bicycle
11/16/2021,21-07691,"WHITMAN WAY and FARADAY AVE, Carlsbad, San Diego, United States",33.1387106,-117.3063862,3168000,NORTH,Tuesday,Unknown,Sideswipe,Bicycle,Bicycle
11/12/2021,21-07589,"CARLSBAD VILLAGE DR and CARLSBAD BLVD, Carlsbad, San Diego, United States",33.1582158,-117.3509162,200,EAST,Friday,Improper Turning,Broadside,Bicycle,Bicycle
11/10/2021,21-07534,"FARADAY AVE and EL CAMINO REAL, Carlsbad, San Diego, United States",33.1366511,-117.2732373,0,Not Stated,Wednesday,Unsafe Speed,Sideswipe,Bicycle,Electric Bicycle
11/1/2021,21-07340,"ROSEMARY AVE and IVY ST, Carlsbad, San Diego, United States",33.1031248,-117.3019097,97,WEST,Monday,Other Hazardous Movement,Head-On,Other Motor Vehicle,Electric Bicycle
10/31/2021,21-07297,"CHESTNUT AVE and OXFORD ST, Carlsbad, San Diego, United States",33.165981,-117.313713,405,WEST,Sunday,Improper Turning,Other,Bicycle,Electric Bicycle
10/28/2021,21-07214,"GATEWAY RD and ALICANTE RD, Carlsbad, San Diego, United States",33.1276355,-117.2617997,0,Not Stated,Thursday,Unsafe Speed,Other,Non - Collision,Electric Bicycle
10/27/2021,21-07201,"JEFFERSON ST and TAMARACK AVE, Carlsbad, San Diego, United States",33.1545825,-117.3181712,0,Not Stated,Wednesday,,Broadside,Bicycle,Bicycle
10/24/2021,21-07137,"CARLSBAD BLVD and PONTO RD, Carlsbad, San Diego, United States",33.09839,-117.3169496,655,SOUTH,Sunday,Unknown,Other,Not Stated,Bicycle
10/23/2021,21-07114,"RANCHO SANTA FE RD and PASEO LUPINO, Carlsbad, San Diego, United States",33.0837865,-117.231413,0,Not Stated,Saturday,Traffic Signals and Signs,Broadside,Bicycle,Electric Bicycle
10/8/2021,21-06722,"TAMARACK AVE and HIBISCUS CR, Carlsbad, San Diego, United States",33.1503162,-117.3403847,520,WEST,Friday,Improper Turning,Broadside,Bicycle,Electric Bicycle
10/6/2021,21-06701,"CAMINO VIDA ROBLE and EL CAMINO REAL, Carlsbad, San Diego, United States",33.1198118,-117.2672131,1320,WEST,Wednesday,Improper Turning,Rear-End,Bicycle,Bicycle
10/3/2021,21-06613,"CARLSBAD BLVD and PONTO RD, Carlsbad, San Diego, United States",33.09839,-117.3169496,300,SOUTH,Sunday,Following Too Closely,Rear-End,Bicycle,Bicycle
10/1/2021,21-06575,"CHESTNUT AVE and JEFFERSON ST, Carlsbad, San Diego, United States",33.1650545,-117.3484147,90,WEST,Friday,Auto R/W Violation,Broadside,Bicycle,Electric Bicycle
9/30/2021,21-06529,"CASSIA RD and EL CAMINO REAL, Carlsbad, San Diego, United States",33.1140784,-117.2714258,9,EAST,Thursday,Ped R/W Violation,Head-On,Bicycle,Bicycle
9/29/2021,21-06500,"CHESTNUT AVE and MONROE ST, Carlsbad, San Diego, United States",33.161634,-117.3264132,650,WEST,Wednesday,Auto R/W Violation,Broadside,Bicycle,Bicycle
9/27/2021,21-06491,"TAMARACK AVE and BRITTANY WAY, Carlsbad, San Diego, United States",33.174194,-117.298981,0,Not Stated,Monday,Following Too Closely,Other,Bicycle,Bicycle
9/25/2021,21-06421,"STATE ST and LAGUNA DR, Carlsbad, San Diego, United States",33.1652652,-117.3466418,0,Not Stated,Saturday,Auto R/W Violation,Sideswipe,Bicycle,Bicycle
9/25/2021,21-06426,"CARLSBAD BLVD and GRAND AVE, Carlsbad, San Diego, United States",33.1593734,-117.3518766,152,SOUTH,Saturday,Improper Turning,Sideswipe,Bicycle,Bicycle
9/23/2021,21-06371,"COLLEGE BLVD and RICH FIELD DR, Carlsbad, San Diego, United States",33.1592464,-117.291112,12,NORTH,Thursday,Unsafe Speed,Rear-End,Bicycle,Bicycle
9/16/2021,21-06230,"HARDING ST and OAK AVE, Carlsbad, San Diego, United States",33.160858,-117.343712,0,Not Stated,Thursday,Improper Turning,Other,Bicycle,Electric Bicycle
9/16/2021,21-06223,"MADISON ST and CARLSBAD VILLAGE DR, Carlsbad, San Diego, United States",33.1608,-117.3466796,154,SOUTH,Thursday,Unsafe Speed,Rear-End,Bicycle,Bicycle
9/15/2021,21-06212,"EL CAMINO REAL and AVIARA PY, Carlsbad, San Diego, United States",33.1023291,-117.2664028,0,Not Stated,Wednesday,Auto R/W Violation,Other,Bicycle,Bicycle
9/14/2021,21-06188,"CARLSBAD VILLAGE DR and HARDING ST, Carlsbad, San Diego, United States",33.1619201,-117.3445777,0,Not Stated,Tuesday,Auto R/W Violation,Broadside,Bicycle,Bicycle
9/11/2021,21-06122,"TAMARACK AVE and KIRKWALL AVE, Carlsbad, San Diego, United States",33.1624498,-117.3020927,276,SOUTH,Saturday,Unsafe Speed,Other,Non - Collision,Bicycle
9/10/2021,21-06102,"TAMARACK AVE and E POINTE AVEE, Carlsbad, San Diego, United States",33.152676,-117.314949,400,WEST,Friday,Unsafe Speed,Overturned,Non - Collision,Electric Bicycle
9/3/2021,21-05922,"CHESTNUT AVE and MONROE ST, Carlsbad, San Diego, United States",33.161634,-117.3264132,186,EAST,Friday,Improper Turning,Rear-End,Bicycle,Bicycle
9/3/2021,21-05930,"POINSETTIA LANE and QUARTZ WAY, Carlsbad, San Diego, United States",33.1157583,-117.2566366,540,EAST,Friday,Unsafe Speed,Other,Non - Collision,Electric Bicycle
8/30/2021,21-05807,"TAMARACK AVE and HIBISCUS CRv, Carlsbad, San Diego, United States",33.1503162,-117.3403847,6,WEST,Monday,Auto R/W Violation,Other,Bicycle,Electric Bicycle
8/28/2021,21-05772,"CARLSBAD BLVD and SOLAMAR DR (W), Carlsbad, San Diego, United States",33.1208962,-117.3273054,970,SOUTH,Saturday,Unsafe Speed,Vehicle - Pedestrian,Pedestrian,Bicycle
8/24/2021,21-05652,"CAMINO DE LOS COCHES and CALLE ACERVO, Carlsbad, San Diego, United States",33.0748155,-117.2342567,20,WEST,Tuesday,Unsafe Speed,Hit Object,Non - Collision,Bicycle
8/19/2021,21-05568,"WIND TRAIL WAY and WIND TRAIL WAY, Carlsbad, San Diego, United States",33.152945,-117.2954241,59,EAST,Thursday,Improper Turning,Hit Object,Fixed Object,Electric Bicycle
8/16/2021,21-05481,"COLLEGE BLVD and PLAINS WAY, Carlsbad, San Diego, United States",33.1619253,-117.291988,74,NORTH,Monday,Auto R/W Violation,Broadside,Bicycle,Electric Bicycle
8/11/2021,21-05375,"CARLSBAD BLVD and CANNON RD, Carlsbad, San Diego, United States",33.1324834,-117.3354103,3300,NORTH,Wednesday,Improper Turning,Sideswipe,Bicycle,Bicycle
8/9/2021,21-05342,"CARLSBAD VILLAGE DR and EL CAMINO REAL, Carlsbad, San Diego, United States",33.1717487,-117.3225535,0,WEST,Monday,Unknown,Other,Non - Collision,Bicycle
8/7/2021,21-05294,"GRAND AVE and STATE ST, Carlsbad, San Diego, United States",33.160683,-117.349602,39,EAST,Saturday,Other Hazardous Movement,Sideswipe,Bicycle,Electric Bicycle
8/4/2021,21-05203,"CARLSBAD BLVD and MANZANO DR, Carlsbad, San Diego, United States",33.1267117,-117.3303266,154,NORTH,Wednesday,Unknown,Hit Object,Fixed Object,Bicycle
8/3/2021,21-05174,"MONROE ST and HOSP WAY, Carlsbad, San Diego, United States",33.170887,-117.334557,0,Not Stated,Tuesday,Traffic Signals and Signs,Broadside,Bicycle,Bicycle
7/30/2021,21-05095,"VIA MONTEBELLO, Carlsbad, San Diego, United States",33.0815969,-117.2331981,0,Not Stated,Friday,Other Improper Driving,Head-On,Bicycle,Electric Bicycle
7/25/2021,21-04970,"ALGA RD and ESTRELLA DE MAR RD, Carlsbad, San Diego, United States",33.1023339,-117.2630682,646,EAST,Sunday,Improper Turning,Overturned,Bicycle,Bicycle
7/25/2021,21-04959,"CARLSBAD BLVD and OAK AVE, Carlsbad, San Diego, United States",33.156743,-117.3507832,0,Not Stated,Sunday,Ped R/W Violation,Vehicle - Pedestrian,Pedestrian,Bicycle
7/23/2021,21-04907,"ALICANTE RD and ALTISMA WAY (N), Carlsbad, San Diego, United States",33.0934736,-117.255191,0,Not Stated,Friday,Other Than Driver,Other,Non - Collision,Electric Bicycle
7/22/2021,21-04881,"JEFFERSON ST and TAMARACK AVE, Carlsbad, San Diego, United States",33.1545825,-117.3181712,4,SOUTH,Thursday,Traffic Signals and Signs,Broadside,Bicycle,Electric Bicycle
7/21/2021,21-04851,"PIO PICO DR and LAS FLORES DR, Carlsbad, San Diego, United States",33.170681,-117.344437,8,NORTH,Wednesday,Improper Turning,Overturned,Non - Collision,Bicycle
7/21/2021,21-04866,"CARLSBAD BLVD and CANNON RD, Carlsbad, San Diego, United States",33.1324834,-117.3354103,58,SOUTH,Wednesday,Improper Turning,Sideswipe,Bicycle,Electric Bicycle
7/18/2021,21-04789,"POINSETTIA LANE and CRYSTALLINE DR, Carlsbad, San Diego, United States",33.1088381,-117.2989217,720,WEST,Sunday,Other Improper Driving,Rear-End,Bicycle,Bicycle
7/18/2021,21-04795,"HILLSIDE DR and SKYLINE RD, Carlsbad, San Diego, United States",33.1552443,-117.3202823,150,EAST,Sunday,Improper Turning,Other,Non - Collision,Bicycle
7/17/2021,21-04780,"CHESTNUT AVE and PIO PICO DR, Carlsbad, San Diego, United States",33.158318,-117.339317,234,WEST,Saturday,Other Hazardous Movement,Broadside,Bicycle,Bicycle
7/17/2021,21-04765,"PALOMAR AIRPORT RD and PASEO DEL NORTE, Carlsbad, San Diego, United States",33.1221336,-117.3191715,24,WEST,Saturday,Other Than Driver,Other,Fixed Object,Bicycle
7/15/2021,21-04716,"TAMARACK AVE and I-5 TAMARACK SB OFF RAMP, Carlsbad, San Diego, United States",33.1475628,-117.345311,65,EAST,Thursday,Unsafe Speed,Hit Object,Other Object,Electric Bicycle
7/8/2021,21-04568,"CARLSBAD BLVD and STATE ST, Carlsbad, San Diego, United States",33.1666392,-117.3549736,0,Not Stated,Thursday,Auto R/W Violation,Broadside,Bicycle,Bicycle
7/5/2021,21-04494,"2775 STATE STREET, Carlsbad, San Diego, United States",33.1611636,-117.3513359,0,Not Stated,Monday,Driving Under Influence,Hit Object,Fixed Object,Bicycle
6/27/2021,21-04291,"TYLER ST and PINE AVE, Carlsbad, San Diego, United States",33.157684,-117.34642,0,Not Stated,Sunday,Unsafe Speed,Other,Non - Collision,Electric Bicycle
6/25/2021,21-04265,"LA COSTA AVE and EL CAMINO REAL, Carlsbad, San Diego, United States",33.0853092,-117.2685925,0,Not Stated,Friday,Traffic Signals and Signs,Broadside,Bicycle,Bicycle
6/25/2021,21-04247,"CARLSBAD BLVD and STATE ST, Carlsbad, San Diego, United States",33.1666392,-117.3549736,300,NORTH,Friday,Other Than Driver,Other,Fixed Object,Bicycle
6/21/2021,21-04153,"AVENIDA DE ANITA and MARRON RD, Carlsbad, San Diego, United States",33.1783317,-117.321925,86,SOUTH,Monday,Unsafe Speed,Overturned,Non - Collision,Electric Bicycle
6/15/2021,21-04017,"EL CAMINO REAL and HOSP WAY, Carlsbad, San Diego, United States",33.175106,-117.3253197,68,SOUTH,Tuesday,Improper Turning,Sideswipe,Bicycle,Bicycle
